subplot,tag,species,dbh_cm,dbh.class,health_s,canopy,bands_in,date,DOY,week,notes,lai_dist
A01E,2773,POGR,41.6,38-43,L,OD,0,5/30/2019,150,5,new band,no
A01E,2773,POGR,41.6,38-43,L,OD,0.01,6/5/2019,156,6,,yes
A01E,2773,POGR,41.6,38-43,L,OD,0.04,6/11/2019,162,7,,
A01E,2773,POGR,41.6,38-43,L,OD,0.05,6/18/2019,169,8,,
A01E,2773,POGR,41.6,38-43,L,OD,0.07,6/26/2019,177,9,,
A01E,2773,POGR,41.6,38-43,L,OD,0.08,7/3/2019,184,10,,
A01E,2773,POGR,41.6,38-43,L,OD,0.09,7/10/2019,191,11,,
A01E,2773,POGR,41.6,38-43,L,OD,0.1,7/17/2019,198,12,,
A01E,2773,POGR,41.6,38-43,L,OD,0.11,7/24/2019,205,13,,
A01E,2773,POGR,41.6,38-43,L,OD,0.11,7/31/2019,212,14,,
A01E,2773,POGR,41.6,38-43,L,OD,0.11,8/8/2019,220,15,,
A01E,2773,POGR,41.6,38-43,L,OD,0.1,8/14/2019,226,16,,
A01E,2773,POGR,41.6,38-43,L,OD,NA,11/12/2019,316,17,,
A01E,2781,QURU,42.6,38-43,L,OD,0.01,5/30/2019,150,5,new band,no
A01E,2781,QURU,42.6,38-43,L,OD,0.02,6/5/2019,156,6,,yes
A01E,2781,QURU,42.6,38-43,L,OD,0.05,6/11/2019,162,7,needs new sticker ,
A01E,2781,QURU,42.6,38-43,L,OD,0.06,6/18/2019,169,8,needs new sticker ,
A01E,2781,QURU,42.6,38-43,L,OD,0.09,6/26/2019,177,9,,
A01E,2781,QURU,42.6,38-43,L,OD,0.1,7/3/2019,184,10,,
A01E,2781,QURU,42.6,38-43,L,OD,0.12,7/10/2019,191,11,,
A01E,2781,QURU,42.6,38-43,L,OD,0.14,7/17/2019,198,12,,
A01E,2781,QURU,42.6,38-43,L,OD,0.15,7/24/2019,205,13,,
A01E,2781,QURU,42.6,38-43,L,OD,0.17,7/31/2019,212,14,,
A01E,2781,QURU,42.6,38-43,L,OD,0.18,8/8/2019,220,15,,
A01E,2781,QURU,42.6,38-43,L,OD,0.18,8/14/2019,226,16,,
A01E,2781,QURU,42.6,38-43,L,OD,0.21,11/12/2019,316,17,,
A01E,2782,QURU,38.2,38-43,L,OD,0.04,11/2/2018,306,1,,
A01E,2782,QURU,38.2,38-43,L,OD,0.02,4/10/2019,100,2,,no
A01E,2782,QURU,38.2,38-43,L,OD,0.05,5/17/2019,137,3,,no
A01E,2782,QURU,38.2,38-43,L,OD,0.09,5/24/2019,144,4,,no
A01E,2782,QURU,38.2,38-43,L,OD,0.09,5/30/2019,150,5,,no
A01E,2782,QURU,38.2,38-43,L,OD,0.09,6/5/2019,156,6,,yes
A01E,2782,QURU,38.2,38-43,L,OD,0.1,6/11/2019,162,7,,
A01E,2782,QURU,38.2,38-43,L,OD,0.11,6/18/2019,169,8,,
A01E,2782,QURU,38.2,38-43,L,OD,0.11,6/26/2019,177,9,,
A01E,2782,QURU,38.2,38-43,L,OD,0.12,7/3/2019,184,10,,
A01E,2782,QURU,38.2,38-43,L,OD,0.11,7/10/2019,191,11,,
A01E,2782,QURU,38.2,38-43,L,OD,0.12,7/17/2019,198,12,,
A01E,2782,QURU,38.2,38-43,L,OD,0.12,7/24/2019,205,13,,
A01E,2782,QURU,38.2,38-43,L,OD,0.12,7/31/2019,212,14,,
A01E,2782,QURU,38.2,38-43,L,OD,0.12,8/8/2019,220,15,,
A01E,2782,QURU,38.2,38-43,L,OD,0.12,8/14/2019,226,16,,
A01E,2782,QURU,38.2,38-43,L,OD,0.17,11/12/2019,316,17,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.03,11/2/2018,306,1,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.01,4/10/2019,100,2,,no
A01E,2783,FAGR,16.5,13-18,L,OS,0.02,5/17/2019,137,3,,no
A01E,2783,FAGR,16.5,13-18,L,OS,0.02,5/24/2019,144,4,,no
