Project,DateTime,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
REU2018,7/10/2018 13:22,RPLMID1,1586.1,389.4,0.146,1.86,1,0.79,24,46,-85
REU2018,7/10/2018 13:33,RPLMID2,1633.4,412.5,0.251,3.15,1,0.81,24,46,-85
REU2018,7/10/2018 13:47,RPLMID3,1747.8,400.9,0.228,3.14,1,0.85,24,46,-85
REU2018,7/11/2018 13:07,RP73-2,1650.5,578.5,0.349,2.64,1,0.82,25,46,-85
REU2018,7/11/2018 13:17,RP73-3,1686.6,410.4,0.242,3.12,1,0.83,24,46,-85
REU2018,7/11/2018 13:38,RPLT-1,1705.8,379.9,0.221,3.44,1,0.84,24,46,-85
REU2018,7/11/2018 13:47,RPLT-2,1770.4,551.9,0.31,2.8,1,0.86,24,46,-85
REU2018,7/11/2018 13:58,RPLT-3,1661.2,335.7,0.201,3.42,1,0.82,24,46,-85
REU2018,7/17/2018 13:28,BS42C,1788.7,323.7,0.077,1.68,1,0.87,25,46,-85
REU2018,7/17/2018 14:05,BS42A,1818.6,259.7,0.071,2.04,1,0.88,25,46,-85
REU2018,7/18/2018 12:53,AC104,1757.7,217.4,0.123,4.87,1,0.87,27,46,-85
REU2018,7/18/2018 13:02,AC103,1761.8,151.4,0.085,5.62,1,0.87,26,46,-85
REU2018,7/18/2018 13:23,RP47-1,1784.4,266.8,0.148,4.84,1,0.87,25,46,-85
REU2018,7/18/2018 13:36,RP47-2,1810.2,159.9,0.087,5.78,1,0.87,25,46,-85
REU2018,7/18/2018 13:42,RP47-3,1804.3,286.4,0.158,4.43,1,0.87,25,46,-85
REU2018,7/18/2018 14:25,BS42B,1783.6,211.1,0.118,5.18,1,0.87,26,46,-85
REU2018,7/18/2018 14:34,BS42A,1761.7,187.4,0.105,5.4,1,0.87,27,46,-85
REU2018,7/18/2018 14:41,BS42C,1761.9,294.7,0.166,4.49,1,0.87,27,46,-85
REU2018,7/18/2018 15:04,RPL-1,1739.1,137.8,0.078,5.71,1,0.87,29,46,-85
REU2018,7/18/2018 15:11,RPL-3,1735.8,188.9,0.108,5.19,1,0.88,30,46,-85
REU2018,7/18/2018 15:22,RPL-2,1736.9,244.3,0.139,4.56,1,0.89,32,46,-85
REU2018,7/19/2018 13:24,BS40F,1666.6,210.3,0.119,4.68,1,0.83,25,46,-85
REU2018,7/19/2018 13:27,BS40E,1637.8,178.4,0.108,4.83,1,0.82,25,46,-85
