,layer_1,calculation,value,v1
1,Layer 1, ARI1,-0.001669748,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
2,Layer 1, ARI2,-0.1474905,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
3,Layer 1, CRI1,0.05410118,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
4,Layer 1, CRI2,0.05243144,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
5,Layer 1, SIPI,0.7947882,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
6,Layer 1, FRI,-1.277874,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
7,Layer 1, CNDVI,0.4646993,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
8,Layer 1, Ctr1,1.032639,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
9,Layer 1, Ctr2,0.1587372,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
10,Layer 1, G,2.960649,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
11,Layer 1, GM1,3.806079,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
12,Layer 1, GM2,3.948311,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
13,Layer 1, Lic1,0.8401645,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
14,Layer 1, Lic2,1.277943,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
15,Layer 1, NDVI,0.8401645,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
16,Layer 1, NPCI,-0.2308563,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
17,Layer 1, NPQI,0.07298028,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
18,Layer 1, SRPI,1.600294,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
19,Layer 1, TCARI,43.49583,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
20,Layer 1, TVI,5252.404,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
21,Layer 1, ZMI,2.120443,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
22,Layer 1, MRESRI,7.728642,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
23,Layer 1, RENDVI,0.4646993,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
24,Layer 1, VREI1,1.403377,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
25,Layer 1, VREI2,-0.07119729,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
26,Layer 1, VREI3,-0.07711267,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
27,Layer 1, PRI,0.05401657,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
28,Layer 1, PSRI,-0.01221837,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
29,Layer 1, WBI,0.9321522,DO1E_ACRU_CAN01_07222018_636678773817090211_Calculations.csv
30,Layer 1, ARI1,-0.000596769,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
31,Layer 1, ARI2,-0.05082051,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
32,Layer 1, CRI1,0.06678797,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
33,Layer 1, CRI2,0.0661912,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
34,Layer 1, SIPI,0.8127738,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
35,Layer 1, FRI,-1.911042,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
36,Layer 1, CNDVI,0.4753009,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
37,Layer 1, Ctr1,1.031752,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
38,Layer 1, Ctr2,0.148025,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
39,Layer 1, G,3.063474,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
40,Layer 1, GM1,4.053251,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
41,Layer 1, GM2,4.102064,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
42,Layer 1, Lic1,0.8543653,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
43,Layer 1, Lic2,1.277448,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
44,Layer 1, NDVI,0.8543653,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
45,Layer 1, NPCI,-0.249328,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
46,Layer 1, NPQI,0.07090382,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
47,Layer 1, SRPI,1.66428,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
48,Layer 1, TCARI,40.66755,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
49,Layer 1, TVI,5061.866,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
50,Layer 1, ZMI,2.159346,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
51,Layer 1, MRESRI,7.10963,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
52,Layer 1, RENDVI,0.4753009,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
53,Layer 1, VREI1,1.408573,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
54,Layer 1, VREI2,-0.0731682,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
55,Layer 1, VREI3,-0.07946123,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
56,Layer 1, PRI,0.05151567,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
57,Layer 1, PSRI,-0.008298125,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
