replicate,plot,subplot,nested_subplot,nested_subplot_area_m2
A,1,E,1,1
A,1,E,2,1
A,1,E,3,1
A,1,E,4,1
A,1,E,5,1
A,1,E,6,1
A,1,E,7,1
A,1,E,8,1
A,1,E,9,1
A,2,E,1,1
A,2,E,2,1
A,2,E,3,1
A,2,E,4,1
A,2,E,5,1
A,2,E,6,1
A,2,E,7,1
A,2,E,8,1
A,2,E,9,1
A,3,E,1,1
A,3,E,2,1
A,3,E,3,1
A,3,E,4,1
A,3,E,5,1
A,3,E,6,1
A,3,E,7,1
A,3,E,8,1
A,3,E,9,1
A,4,E,1,1
A,4,E,2,1
A,4,E,3,1
A,4,E,4,1
A,4,E,5,1
A,4,E,6,1
A,4,E,7,1
A,4,E,8,1
A,4,E,9,1
B,1,E,1,1
B,1,E,2,1
B,1,E,3,1
B,1,E,4,1
B,1,E,5,1
B,1,E,6,1
B,1,E,7,1
B,1,E,8,1
B,1,E,9,1
B,2,E,1,1
B,2,E,2,1
B,2,E,3,1
B,2,E,4,1
B,2,E,5,1
B,2,E,6,1
B,2,E,7,1
B,2,E,8,1
B,2,E,9,1
B,3,E,1,1
B,3,E,2,1
B,3,E,3,1
B,3,E,4,1
B,3,E,5,1
B,3,E,6,1
B,3,E,7,1
B,3,E,8,1
B,3,E,9,1
B,4,E,1,1
B,4,E,2,1
B,4,E,3,1
B,4,E,4,1
B,4,E,5,1
B,4,E,6,1
B,4,E,7,1
B,4,E,8,1
B,4,E,9,1
C,1,E,1,1
C,1,E,2,1
C,1,E,3,1
C,1,E,4,1
C,1,E,5,1
C,1,E,6,1
C,1,E,7,1
C,1,E,8,1
C,1,E,9,1
C,2,E,1,1
C,2,E,2,1
C,2,E,3,1
C,2,E,4,1
C,2,E,5,1
C,2,E,6,1
C,2,E,7,1
C,2,E,8,1
C,2,E,9,1
C,3,E,1,1
C,3,E,2,1
C,3,E,3,1
C,3,E,4,1
C,3,E,5,1
C,3,E,6,1
C,3,E,7,1
C,3,E,8,1
C,3,E,9,1
C,4,E,1,1
C,4,E,2,1
C,4,E,3,1
C,4,E,4,1
C,4,E,5,1
C,4,E,6,1
C,4,E,7,1
C,4,E,8,1
C,4,E,9,1
D,1,E,1,1
D,1,E,2,1
D,1,E,3,1
D,1,E,4,1
D,1,E,5,1
D,1,E,6,1
D,1,E,7,1
D,1,E,8,1
D,1,E,9,1
D,2,E,1,1
D,2,E,2,1
D,2,E,3,1
D,2,E,4,1
D,2,E,5,1
D,2,E,6,1
D,2,E,7,1
D,2,E,8,1
D,2,E,9,1
D,3,E,1,1
D,3,E,2,1
D,3,E,3,1
D,3,E,4,1
D,3,E,5,1
D,3,E,6,1
D,3,E,7,1
D,3,E,8,1
D,3,E,9,1
D,4,E,1,1
D,4,E,2,1
D,4,E,3,1
D,4,E,4,1
D,4,E,5,1
D,4,E,6,1
D,4,E,7,1
D,4,E,8,1
D,4,E,9,1
A,1,W,1,1
A,1,W,2,1
A,1,W,3,1
A,1,W,4,1
A,1,W,5,1
A,1,W,6,1
A,1,W,7,1
A,1,W,8,1
A,1,W,9,1
A,2,W,1,1
A,2,W,2,1
A,2,W,3,1
A,2,W,4,1
A,2,W,5,1
A,2,W,6,1
A,2,W,7,1
A,2,W,8,1
A,2,W,9,1
A,3,W,1,1
A,3,W,2,1
A,3,W,3,1
A,3,W,4,1
A,3,W,5,1
A,3,W,6,1
A,3,W,7,1
A,3,W,8,1
A,3,W,9,1
A,4,W,1,1
A,4,W,2,1
A,4,W,3,1
A,4,W,4,1
A,4,W,5,1
A,4,W,6,1
A,4,W,7,1
A,4,W,8,1
