subplot_id,nested_subplot,tag,species,dbh_mm,date,notes
A01E,2,2784,ACPE,15.1,2020-07-29,
A01E,2,4021,ACPE,16.1,2020-07-29,
A01E,4,4023,FAGR,65.2,2020-07-29,
A01E,4,4024,FAGR,60.7,2020-07-29,
A01E,6,2835,ACPE,19.7,2020-07-29,
A01E,6,2839,ACPE,14.5,2020-07-29,
A01E,6,2836,ACPE,17.3,2020-07-29,
A01E,6,2838,ACPE,35.7,2020-07-29,
A01E,6,2837,ACPE,32.6,2020-07-29,
A01E,8,4028,ACPE,66.4,2020-07-29,
A01E,8,4029,ACPE,15.8,2020-07-29,
A01W,2,2881,FAGR,17.1,2020-07-29,
A01W,2,2880,FAGR,22.6,2020-07-29,
A01W,4,4031,ACSA,74.2,2020-07-29,
A01W,4,2907,FAGR,21,2020-07-29,
A01W,6,2934,FAGR,43.3,2020-07-29,
A01W,6,4034,ACPE,39.7,2020-07-29,
A01W,8,4038,ACPE,18.5,2020-07-29,
A01W,8,4039,ACPE,24.2,2020-07-29,
A02E,2,3092,ACPE,37.3,2020-07-29,
A02E,2,3089,FAGR,12,2020-07-29,
A02E,2,3090,FAGR,17.9,2020-07-29,
A02E,2,3091,FAGR,21.5,2020-07-29,
A02E,2,3245,FAGR,20.2,2020-07-29,
A02E,4,3247,FAGR,17.4,2020-07-29,
A02E,4,3246,ACSA,39.1,2020-07-29,
A02E,6,3165,ACPE,13,2020-07-29,
A02E,6,3251,FAGR,21.9,2020-07-29,
A02E,8,3255,ACSA,63,2020-07-29,
A02E,8,3256,ACPE,14.1,2020-07-29,
A02W,2,3000,ACPE,15.1,2020-07-29,
A02W,2,3001,ACPE,21.9,2020-07-29,
A02W,4,4045,ACPE,40.3,2020-07-29,
A02W,4,4044,FAGR,14.7,2020-07-29,
A02W,6,4048,FAGR,35.9,2020-07-29,
A02W,6,4049,ACSA,45.9,2020-07-29,
A02W,8,4053,ACSA,63.6,2020-07-29,
A02W,8,4054,ACPE,32.7,2020-07-29,
A03E,2,3998,ACSA,43.6,2020-07-29,
A03E,2,3995,ACSA,55.7,2020-07-29,
A03E,4,4000,FAGR,14,2020-07-29,
A03E,4,4001,FAGR,15.7,2020-07-29,
A03E,6,4002,ACPE,19,2020-07-29,
A03E,6,4005,FAGR,24.3,2020-07-29,
A03E,8,2552,FAGR,19.5,2020-07-29,
A03E,8,2554,FAGR,27.7,2020-07-29,
A03E,8,2553,FAGR,16.5,2020-07-29,
A03W,2,2362,FAGR,33.9,2020-07-29,
A03W,2,4008,FAGR,68.9,2020-07-29,
A03W,4,2387,ACPE,69.8,2020-07-29,
A03W,4,2388,ACPE,15.9,2020-07-29,
A03W,6,2420,ACPE,51.9,2020-07-29,
A03W,6,4014,AMEL,37.3,2020-07-29,
A03W,8,4018,ACSA,48,2020-07-29,
A03W,8,4017,FAGR,72.4,2020-07-29,
A04E,2,2684,ACPE,15.1,2020-07-29,
A04E,2,4068,ACPE,12.9,2020-07-29,
A04E,4,4069,FAGR,54.1,2020-07-29,
A04E,4,4070,FAGR,51.8,2020-07-29,
A04E,6,2733,ACPE,17.4,2020-07-29,
A04E,6,4072,ACPE,23.1,2020-07-29,
A04E,8,4073,ACPE,13.4,2020-07-29,
A04E,8,4075,ACPE,40.2,2020-07-29,
A04W,2,4055,FAGR,64.6,2020-07-29,
A04W,2,4057,FAGR,36.3,2020-07-29,
A04W,4,4058,FAGR,79.9,2020-07-29,
A04W,4,4061,FAGR,11.3,2020-07-29,
A04W,6,4062,FAGR,41.2,2020-07-29,
A04W,6,2647,FAGR,74.3,2020-07-29,
A04W,8,4064,FAGR,15.2,2020-07-29,
A04W,8,4065,FAGR,54,2020-07-29,
B01E,2,4131,QURU,41.7,2020-07-29,
B01E,2,4100,FAGR,44.6,2020-07-29,
B01E,4,4128,FAGR,18.9,2020-07-29,
B01E,4,4139,FAGR,28.7,2020-07-29,
B01E,6,4129,ACPE,20.2,2020-07-29,
B01E,6,4130,ACPE,21.1,2020-07-29,
B01E,8,1742,ACPE,31,2020-07-29,
B01E,8,1741,FAGR,26.1,2020-07-29,
B01W,2,1593,QURU,49.1,2020-07-29,
B01W,2,4132,ACPE,15.9,2020-07-29,
B01W,4,1592,ACSA,26.3,2020-07-29,
B01W,4,1594,ACSA,20.4,2020-07-29,
B01W,4,1595,FAGR,18.4,2020-07-29,
B01W,4,1591,QURU,77.6,2020-07-29,
B01W,6,1631,FAGR,37.5,2020-07-29,
