Month,Year,Function,no_of_obs
1,2018,fd_soil_respiration,
2,2018,fd_soil_respiration,
3,2018,fd_soil_respiration,
4,2018,fd_soil_respiration,
5,2018,fd_soil_respiration,
6,2018,fd_soil_respiration,
7,2018,fd_soil_respiration,
8,2018,fd_soil_respiration,
9,2018,fd_soil_respiration,
10,2018,fd_soil_respiration,
11,2018,fd_soil_respiration,
12,2018,fd_soil_respiration,
2018,2018,fd_soil_respiration,
1,2019,fd_soil_respiration,
2,2019,fd_soil_respiration,
3,2019,fd_soil_respiration,
4,2019,fd_soil_respiration,
5,2019,fd_soil_respiration,702
6,2019,fd_soil_respiration,555
7,2019,fd_soil_respiration,1028
8,2019,fd_soil_respiration,318
9,2019,fd_soil_respiration,
10,2019,fd_soil_respiration,
11,2019,fd_soil_respiration,188
12,2019,fd_soil_respiration,
2019,2019,fd_soil_respiration,2791
1,2018,fd_leaf_spectrometry,
2,2018,fd_leaf_spectrometry,
3,2018,fd_leaf_spectrometry,
4,2018,fd_leaf_spectrometry,
5,2018,fd_leaf_spectrometry,
6,2018,fd_leaf_spectrometry,
7,2018,fd_leaf_spectrometry,7155
8,2018,fd_leaf_spectrometry,
9,2018,fd_leaf_spectrometry,
10,2018,fd_leaf_spectrometry,
11,2018,fd_leaf_spectrometry,
12,2018,fd_leaf_spectrometry,
2018,2018,fd_leaf_spectrometry,7155
1,2019,fd_leaf_spectrometry,
2,2019,fd_leaf_spectrometry,
3,2019,fd_leaf_spectrometry,
4,2019,fd_leaf_spectrometry,
5,2019,fd_leaf_spectrometry,
6,2019,fd_leaf_spectrometry,
7,2019,fd_leaf_spectrometry,
8,2019,fd_leaf_spectrometry,
9,2019,fd_leaf_spectrometry,
10,2019,fd_leaf_spectrometry,
11,2019,fd_leaf_spectrometry,
12,2019,fd_leaf_spectrometry,
2019,2019,fd_leaf_spectrometry,
1,2018,fd_photosynthesis,
2,2018,fd_photosynthesis,
3,2018,fd_photosynthesis,
4,2018,fd_photosynthesis,
5,2018,fd_photosynthesis,
6,2018,fd_photosynthesis,
7,2018,fd_photosynthesis,1615
8,2018,fd_photosynthesis,600
9,2018,fd_photosynthesis,
10,2018,fd_photosynthesis,
11,2018,fd_photosynthesis,
12,2018,fd_photosynthesis,
2018,2018,fd_photosynthesis,2215
1,2019,fd_photosynthesis,
2,2019,fd_photosynthesis,
3,2019,fd_photosynthesis,
4,2019,fd_photosynthesis,
5,2019,fd_photosynthesis,
6,2019,fd_photosynthesis,
7,2019,fd_photosynthesis,
8,2019,fd_photosynthesis,
9,2019,fd_photosynthesis,
10,2019,fd_photosynthesis,
11,2019,fd_photosynthesis,
12,2019,fd_photosynthesis,
2019,2019,fd_photosynthesis,
1,2018,fd_hemi_camera,
2,2018,fd_hemi_camera,
3,2018,fd_hemi_camera,
4,2018,fd_hemi_camera,
5,2018,fd_hemi_camera,
6,2018,fd_hemi_camera,59
7,2018,fd_hemi_camera,161
8,2018,fd_hemi_camera,
9,2018,fd_hemi_camera,
10,2018,fd_hemi_camera,
11,2018,fd_hemi_camera,
12,2018,fd_hemi_camera,
2018,2018,fd_hemi_camera,161
1,2019,fd_hemi_camera,
2,2019,fd_hemi_camera,
3,2019,fd_hemi_camera,
4,2019,fd_hemi_camera,
5,2019,fd_hemi_camera,
6,2019,fd_hemi_camera,
7,2019,fd_hemi_camera,647
8,2019,fd_hemi_camera,161
9,2019,fd_hemi_camera,
10,2019,fd_hemi_camera,
11,2019,fd_hemi_camera,
12,2019,fd_hemi_camera,
2019,2019,fd_hemi_camera,867
1,2018,fd_ceptometer,
2,2018,fd_ceptometer,
3,2018,fd_ceptometer,
4,2018,fd_ceptometer,
5,2018,fd_ceptometer,
6,2018,fd_ceptometer,
7,2018,fd_ceptometer,16
8,2018,fd_ceptometer,
9,2018,fd_ceptometer,
10,2018,fd_ceptometer,
11,2018,fd_ceptometer,
12,2018,fd_ceptometer,
2018,2018,fd_ceptometer,16
1,2019,fd_ceptometer,
2,2019,fd_ceptometer,
3,2019,fd_ceptometer,
4,2019,fd_ceptometer,
5,2019,fd_ceptometer,
6,2019,fd_ceptometer,
7,2019,fd_ceptometer,24
8,2019,fd_ceptometer,8
9,2019,fd_ceptometer,
10,2019,fd_ceptometer,
11,2019,fd_ceptometer,
12,2019,fd_ceptometer,
2019,2019,fd_ceptometer,32
