site,subplot_id,tag,species,dbh_cm,health_status,canopy_status,date,notes
UMBS,A01E,2772,POGR,36.2,L,OD,7/12/2018,
UMBS,A01E,2773,POGR,41.6,L,OD,7/12/2018,
UMBS,A01E,2774,FAGR,10.8,L,UN,7/12/2018,
UMBS,A01E,2775,FAGR,26.2,D,UN,7/12/2018,2775 -2776 share base
UMBS,A01E,2776,FAGR,19.5,L,OS,7/12/2018,2775 -2776 share base
UMBS,A01E,2777,POGR,26.5,D,OS,7/12/2018,
UMBS,A01E,2778,ACSA,16,L,OS,7/12/2018,2778 - 2779 share base
UMBS,A01E,2779,ACSA,9.8,L,UN,7/12/2018,2778 - 2779 share base
UMBS,A01E,2780,FAGR,9.7,L,UN,7/12/2018,
UMBS,A01E,2781,QURU,42.6,L,OD,7/12/2018,2781 - 2782 share base
UMBS,A01E,2782,QURU,38.2,L,OD,7/12/2018,2781 - 2782 share base
UMBS,A01E,2783,FAGR,16.5,L,OS,7/12/2018,
UMBS,A01E,2784,ACPE,1.1,L,SA,7/12/2018,In NE veg plot
UMBS,A01E,2785,POGR,36.7,L,OD,7/12/2018,In NE veg plot
UMBS,A01E,2786,ACSA,23,L,OS,7/12/2018,2786- 2787 share base
UMBS,A01E,2787,ACSA,20.7,L,OS,7/12/2018,2786- 2787 share base
UMBS,A01E,2788,FAGR,12.7,L,OS,7/12/2018,
UMBS,A01E,2789,POGR,35.9,L,OD,7/12/2018,
UMBS,A01E,2790,POGR,30.9,D,OS,7/12/2018,
UMBS,A01E,2791,POGR,36.4,L,OD,7/12/2018,
UMBS,A01E,2792,POGR,32.2,L,OD,7/12/2018,
UMBS,A01E,2793,POGR,31.2,L,OD,7/12/2018,
UMBS,A01E,2794,ACSA,10.9,L,UN,7/12/2018,2794 - 2795 share base
UMBS,A01E,2795,ACSA,24.5,L,OS,7/12/2018,2794 - 2795 share base
UMBS,A01E,2796,FAGR,12.7,D,UN,7/12/2018,2796 - 2797 share base
UMBS,A01E,2797,FAGR,25.3,L,OS,7/12/2018,2796 - 2797 share base
UMBS,A01E,2798,POGR,39.5,L,OD,7/12/2018,
UMBS,A01E,2799,FAGR,13,L,OS,7/12/2018,
UMBS,A01E,2800,POGR,33.3,L,OD,7/12/2018,
UMBS,A01E,2801,FAGR,17.8,D,OS,7/12/2018,
UMBS,A01E,2802,ACSA,30.9,L,OS,7/12/2018,
UMBS,A01E,2803,FAGR,15.5,L,OS,7/12/2018,
UMBS,A01E,2804,FAGR,9.4,L,UN,7/12/2018,
UMBS,A01E,2805,POGR,26.4,D,UN,7/12/2018,
UMBS,A01E,2806,ACSA,12,L,OS,7/12/2018,Shares base with smaller tree
UMBS,A01E,2807,FAGR,8.3,L,UN,7/12/2018,shares base with smaller tree
UMBS,A01E,2808,FAGR,13.4,L,OS,7/12/2018,Shares base with smaller tree
UMBS,A01E,2809,ACSA,19.5,L,OS,7/12/2018,
UMBS,A01E,2810,POGR,30.2,D,UN,7/12/2018,
UMBS,A01E,2811,POGR,36.9,L,OD,7/12/2018,
UMBS,A01E,2812,POGR,36.5,L,OD,7/12/2018,
UMBS,A01E,2813,ACSA,8.4,L,UN,7/12/2018,
UMBS,A01E,2814,ACSA,10.3,L,OS,7/12/2018,
UMBS,A01E,2815,ACRU,28.6,L,OD,7/12/2018,2815 - 2816 share base
UMBS,A01E,2816,ACRU,32.7,L,OD,7/12/2018,2815 - 2816 share base
UMBS,A01E,2817,POGR,43.8,L,OD,7/12/2018,
UMBS,A01E,2818,ACSA,20.6,L,OS,7/12/2018,2818 - 2819 share base
UMBS,A01E,2819,ACSA,22.8,L,OS,7/12/2018,2818 - 2819 share base
UMBS,A01E,2820,POGR,38.2,L,OD,7/12/2018,
UMBS,A01E,2821,FAGR,10.9,L,UN,7/12/2018,
UMBS,A01E,2822,POGR,19.8,D,UN,7/12/2018,
UMBS,A01E,2823,POGR,34.9,L,OD,7/12/2018,
UMBS,A01E,2824,POGR,33.4,L,OD,7/12/2018,
UMBS,A01E,2825,POGR,36.4,L,OD,7/12/2018,
UMBS,A01E,2826,POGR,29.1,L,OD,7/12/2018,
UMBS,A01E,2827,FAGR,25.7,D,UN,7/12/2018,
UMBS,A01E,2828,FAGR,14.6,L,OS,7/12/2018,Shares base with smaller tree
UMBS,A01E,2829,POGR,32.5,L,OD,7/12/2018,
UMBS,A01E,2830,FAGR,9.6,L,UN,7/12/2018,
UMBS,A01E,2831,POGR,25.2,L,OD,7/12/2018,
UMBS,A01E,2832,FAGR,8.4,D,UN,7/12/2018,2832 - 2834 share base
UMBS,A01E,2833,FAGR,19.1,L,OS,7/12/2018,2832 - 2834 share base
UMBS,A01E,2834,FAGR,10.2,L,UN,7/12/2018,2832 - 2834 share base
UMBS,A01E,2835,ACPE,1.6,L,SA,7/12/2018,in SW veg plot
UMBS,A01E,2836,ACPE,1.4,L,SA,7/12/2018,in SW veg plot
UMBS,A01E,2837,ACPE,2.6,L,SA,7/12/2018,in SW veg plot
UMBS,A01E,2838,ACPE,3.2,L,SA,7/12/2018,in SW veg plot
UMBS,A01E,2839,ACPE,1.1,L,SA,7/12/2018,in SW veg plot
UMBS,A01E,2840,POGR,35.1,L,OD,7/12/2018,
UMBS,A01E,2841,ACSA,10.9,L,OS,7/12/2018,"2841 - 2842 share base, taken a little above DBH"
UMBS,A01E,2842,ACSA,14,L,OS,7/12/2018,2841 - 2842 share base
UMBS,A01E,2843,BEPA,18.4,D,UN,7/12/2018,
UMBS,A01E,2844,ACSA,11.9,L,OS,7/12/2018,Shares base with smaller tree
UMBS,A01E,2845,POGR,33.9,L,OD,7/12/2018,
UMBS,A01E,2846,POGR,36.5,L,OD,7/12/2018,
UMBS,A01E,2847,FAGR,11.2,D,UN,7/12/2018,
UMBS,A01E,2848,ACSA,25,L,OS,7/12/2018,2848 - 2849 share base
UMBS,A01E,2849,ACSA,25,L,OS,7/12/2018,2848 - 2849 share base
UMBS,A01E,2850,ACSA,12,L,OS,7/12/2018,
UMBS,A01E,2851,FAGR,10.9,L,OS,7/12/2018,Shares base with smaller tree
UMBS,A01E,2852,FAGR,11.8,L,OS,7/12/2018,
